CPU,Min_Cores,Max_Cores,Max_Clock(MHz),Process(NM),TDP(Watts),Release,Release_Year,CPU_HPI
Z-60,2,2,1000,40.0,5,"Oct 9th, 2012",2012,50.0
Z-01,2,2,1000,40.0,6,"Jun 1st, 2011",2011,50.0
Xeon X5698,2,4,4400,32.0,130,"Feb 14th, 2011",2011,550.0
Xeon X5690,6,12,3733,32.0,130,"Feb 14th, 2011",2011,1399.875
Xeon X5687,4,8,3866,32.0,130,"Feb 14th, 2011",2011,966.5
Xeon X5680,6,12,3600,32.0,130,"Feb 14th, 2010",2010,1350.0
Xeon X5677,4,8,3733,32.0,130,"Mar 16th, 2010",2010,933.25
Xeon X5675,6,12,3466,32.0,95,"Feb 14th, 2011",2011,1299.75
Xeon X5672,4,8,3600,32.0,95,"Feb 14th, 2011",2011,900.0
Xeon X5670,6,12,3333,32.0,95,"Mar 16th, 2010",2010,1249.875
Xeon X5667,4,8,3466,32.0,95,"Mar 16th, 2010",2010,866.5
Xeon X5660,6,12,3200,32.0,95,"Mar 16th, 2010",2010,1200.0
Xeon X5650,6,12,3066,32.0,95,"Mar 16th, 2010",2010,1149.75
Xeon X5647,4,8,3200,32.0,130,"Feb 14th, 2011",2011,800.0
Xeon W3690,6,12,3733,32.0,130,"Feb 14th, 2011",2011,1399.875
Xeon W3680,6,12,3600,32.0,130,"Mar 16th, 2010",2010,1350.0
Xeon W3670,6,12,3466,32.0,130,"Aug 29th, 2010",2010,1299.75
Xeon W3530,4,8,3066,45.0,130,"Mar 16th, 2010",2010,545.0666666666667
Xeon W3505,2,2,2533,45.0,130,"Mar 30th, 2009",2009,112.57777777777778
Xeon W3503,2,2,2400,45.0,130,"Mar 30th, 2009",2009,106.66666666666667
Xeon W-3375,38,76,4000,10.0,270,"Jul 29th, 2021",2021,30400.0
Xeon W-3365,32,64,4000,10.0,270,"Jul 29th, 2021",2021,25600.0
Xeon W-3345,24,48,4000,10.0,250,"Jul 29th, 2021",2021,19200.0
Xeon W-3335,16,32,4000,10.0,250,"Jul 29th, 2021",2021,12800.0
Xeon W-3323,12,24,4000,10.0,220,"Jul 29th, 2021",2021,9600.0
Xeon W-3175X,28,56,4300,14.0,255,"Dec 19th, 2018",2018,17200.0
Xeon W-2195,18,36,4300,14.0,140,"Aug 29th, 2017",2017,11057.142857142857
Xeon W-2191B,18,36,4300,14.0,140,"Dec 21st, 2017",2017,11057.142857142857
Xeon W-2175,14,28,4300,14.0,140,"Oct 15th, 2017",2017,8600.0
Xeon W-2170B,14,28,4300,14.0,140,"Dec 21st, 2017",2017,8600.0
