LaptopID,Company,Type,Inches,ScreenAndRes,Screen,Resolution,CpuMan,CPU/Withclock,CPU,Ram,Ram(GB),Storage(Primary),Storage(Secondary),Storage(P(GB)),Storage(S(GB)),Storage(GB),Gpu,OS,Matched_CPU,Matched_GPU
227,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Full HD / Touchscreen ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,12GB,12,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GT 940MX,Windows 10,Core i7-4500U,NVIDIA GeForce 940MX
159,Asus,2 in 1 Convertible,15.6,4K Ultra HD / Touchscreen 3840x2160,4K Ultra HD / Touchscreen ,3840x2160,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,16GB,16,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GTX 950M,Windows 10,Core i7-4500U,NVIDIA GeForce GTX 950M
1173,MSI,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
422,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
455,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
533,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Linux,Core i7-8550U,AMD Radeon 530 Mobile
542,Dell,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
557,Dell,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
474,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
1185,MSI,Gaming,15.6,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
